System,Condition,Throughput (iter/s),Effective Throughput,Final Loss,Avg Overhead (s),Avg Staleness,Avg Failed Workers,Avg Comm Overhead (s)
Ring Allreduce,Homogeneous,6.57 +- 0.00,6.57,0.0058,0.0400,0.00,0.00,0.0400
Ring Allreduce,Static,2.55 +- 0.00,2.55,-0.0074,0.0400,0.00,0.00,0.0400
Ring Allreduce,Dynamic,6.57 +- 0.00,6.57,-0.0053,0.0400,0.00,0.00,0.0400
Ring Allreduce,Worker Failure,6.57 +- 0.00,6.57,0.0119,0.0400,0.00,0.00,0.0400
Ring Allreduce,Network Instability,6.57 +- 0.00,6.57,-0.0104,0.0400,0.00,0.00,0.0400
Parameter Server,Homogeneous,9.21 +- 0.00,0.00,-0.0037,0.0080,70.50,0.00,0.0080
Parameter Server,Static,5.82 +- 0.00,0.00,0.0220,0.0080,70.50,0.00,0.0080
Parameter Server,Dynamic,9.21 +- 0.00,0.00,0.0091,0.0080,70.50,0.00,0.0080
Parameter Server,Worker Failure,9.21 +- 0.00,0.00,-0.0021,0.0080,70.50,0.00,0.0080
Parameter Server,Network Instability,9.21 +- 0.00,0.00,-0.0062,0.0080,70.50,0.00,0.0080
Adaptive,Homogeneous,6.57 +- 0.00,6.57,0.0010,0.0400,0.00,0.00,0.0400
Adaptive,Static,5.82 +- 0.00,0.00,0.0283,0.0080,70.50,0.00,0.0080
Adaptive,Dynamic,6.57 +- 0.00,6.57,0.0017,0.0400,0.00,0.00,0.0400
Adaptive,Worker Failure,6.57 +- 0.00,6.57,-0.0016,0.0400,0.00,0.00,0.0400
Adaptive,Network Instability,6.57 +- 0.00,6.57,0.0115,0.0400,0.00,0.00,0.0400
